zone_key,emission_factor_type,production_mode,datetime,value,source
AW,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
AZ,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
BA,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
BB,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
BD,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
BF,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
BH,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
BI,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
BJ,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
BN,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
BO,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
BR-CS,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
BR-N,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
BR-NE,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
BR-S,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
BR,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
BS,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
BT,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
BW,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
BY,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
BZ,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
CA-AB,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
CA-BC,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
CA-MB,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
CA-NB,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
CA-NL-LB,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
CA-NL-NF,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
CA-NS,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
CA-NT,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
CA-NU,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
CA-PE,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
CA-QC,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
CA-SK,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
CA-YT,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
CD,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
CF,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
CG,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
CH,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
CI,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
CL-CHP,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
CL-SEA,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
CL-SEM,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
CL-SEN,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
